,ta,U,V,ws,hm,vs,pm
2016-01-04 22:00:00,-1.8,-0.0331551783885261,-0.9994502159417572,0.7,60.6,27010.0,21.0
2016-01-04 23:00:00,-2.0,-0.670426618958799,-0.7419758409756166,0.6,52.8,33600.0,24.0
2016-01-05 00:00:00,-1.9,-0.328866646738583,-0.9443763702374812,1.5,50.9,35810.0,11.0
2016-01-05 01:00:00,-1.9,-0.5030199466302352,-0.8642748019537045,2.6,46.7,33480.0,28.0
2016-01-05 02:00:00,-1.9,-0.4067366430758001,-0.9135454576426008,1.3,45.2,30550.0,26.0
2016-01-05 03:00:00,-1.8,-0.3502073812594676,-0.9366721892483976,2.1,42.3,34190.0,22.0
2016-01-05 04:00:00,-2.4,-0.6481199010631308,-0.761538307536737,1.7,44.6,32740.0,23.0
2016-01-05 05:00:00,-2.3,-0.1908089953765446,-0.981627183447664,2.5,41.1,33910.0,26.0
2016-01-05 06:00:00,-3.253269192502394,-0.1420903584594914,-0.7541154813798288,2.725169041177991,49.87199962725106,20000.0,27.0
2016-01-05 07:00:00,-3.6,-0.0104717841162462,-0.999945169365512,1.7,50.2,31780.0,29.0
2016-01-05 08:00:00,-3.8,-0.3955455025629655,-0.9184463813430868,2.0,41.8,31570.0,35.0
2016-01-05 09:00:00,-3.2,-0.1598811876918348,-0.987136265072988,1.6,39.5,27310.0,42.0
2016-01-05 10:00:00,-1.7,-0.2368381460656182,-0.9715491199976464,1.9,32.9,28740.0,40.0
2016-01-05 11:00:00,-0.2,0.0923705874465618,-0.995724698184582,2.3,27.2,34080.0,44.0
2016-01-05 12:00:00,0.3,0.3354515697502553,-0.9420574527872966,2.9,19.8,38180.0,54.0
2016-01-05 13:00:00,0.7,-0.135715572434305,-0.9907478404714434,4.2,22.0,34300.0,36.0
2016-01-05 14:00:00,1.5,-0.4083304603813847,-0.9128341772330428,2.0,22.5,31620.0,43.0
2016-01-05 15:00:00,1.6,0.2554457579357908,-0.9668233886044596,3.7,25.3,31050.0,48.0
2016-01-05 16:00:00,1.5,0.0714974443326864,-0.997440782930944,2.4,25.5,28240.0,53.0
2016-01-05 17:00:00,0.0,0.3485720473218149,-0.9372819894918916,2.6,29.5,26640.0,50.0
2016-01-05 18:00:00,-1.7,0.5387707850068634,-0.8424523970071474,2.3,41.5,26830.0,45.0
2016-01-05 19:00:00,-2.9,0.2605045086426487,-0.9654726308792252,2.4,51.6,24030.0,46.0
2016-01-05 20:00:00,-3.3,-0.2672383760782571,-0.9636304532086232,1.1,50.5,21760.0,48.0
2016-01-05 21:00:00,-4.4,-0.4099230338415724,-0.912120116172273,1.0,63.1,18390.0,47.0
2016-01-05 22:00:00,-3.3,-0.6959127965923143,0.7181262977631889,1.3,59.8,14270.0,57.0
2016-01-05 23:00:00,-5.1,0.9640954042341102,0.2655561174868089,0.6,68.7,15980.0,46.0
2016-01-06 00:00:00,-5.2,-1.8369701987210294e-16,-1.0,0.0,76.8,13900.0,60.0
