date,ta,U,V,wd,ws,hm,vs
2016-01-03 23:00:00,3.3,0.12360147674049304,-0.9923319378854886,352.9,0.6,89.1,800.0
2016-01-04 00:00:00,2.7,-1.8369701987210297e-16,-1.0,0.0,0.0,90.1,670.0
2016-01-04 01:00:00,1.0,0.3502073812594675,-0.9366721892483976,339.5,0.8,90.6,200.0
2016-01-04 02:00:00,2.7,-0.37945615952900524,0.925209718385782,157.7,0.8,90.6,800.0
2016-01-04 03:00:00,3.1,0.036643708706556276,0.9993283937786565,182.1,0.1,90.7,770.0
2016-01-04 04:00:00,5.3,0.6197790317951403,-0.7847763705330829,321.7,3.2,81.8,2210.0
2016-01-04 05:00:00,4.8,0.47255076486905384,-0.8813034520649922,331.8,2.8,73.7,2720.0
2016-01-04 06:00:00,3.8,0.3665012267242973,-0.9304175679820245,338.5,2.1,76.6,2380.0
2016-01-04 07:00:00,2.0,0.20961856290382228,-0.9777832367586062,347.9,1.1,80.8,2090.0
2016-01-04 08:00:00,0.8,0.1788022151163498,-0.9838850379335417,349.7,0.6,75.8,3790.0
2016-01-04 09:00:00,2.6,0.5180270093731301,-0.8553642601605066,328.8,1.6,68.8,4780.0
2016-01-04 10:00:00,4.1,0.4194520824461773,-0.9077774785329085,335.2,3.2,51.0,7500.0
2016-01-04 11:00:00,5.4,0.3420201433256689,-0.9396926207859083,340.0,4.9,40.1,11360.0
2016-01-04 12:00:00,5.5,0.5000000000000001,-0.8660254037844385,330.0,6.0,32.1,25010.0
2016-01-04 13:00:00,5.1,0.4924235601034671,-0.8703556959398996,330.5,5.0,34.2,21350.0
2016-01-04 14:00:00,6.3,0.6652303546543608,-0.7466381822853916,318.3,4.1,31.9,33140.0
2016-01-04 15:00:00,5.9,0.7626683296956883,-0.6467897795104597,310.3,3.5,32.2,34040.0
2016-01-04 16:00:00,5.2,0.6908824110768582,-0.7229671459095685,316.3,3.1,38.7,32130.0
2016-01-04 17:00:00,3.7,0.34529819899853453,-0.9384930227595559,339.8,2.2,32.4,29980.0
2016-01-04 18:00:00,1.4,0.43680178836770195,-0.8995577789551803,334.1,2.5,37.6,30500.0
2016-01-04 19:00:00,1.2,0.5807029557109398,-0.8141155183563193,324.5,2.7,34.4,37730.0
2016-01-04 20:00:00,0.8,0.5372996083468239,-0.8433914458128857,327.5,3.3,42.7,34570.0
2016-01-04 21:00:00,0.0,0.5490228179981319,-0.8358073613682702,326.7,1.5,50.4,31500.0
2016-01-04 22:00:00,-1.8,-0.03315517838852617,-0.9994502159417573,1.9,0.7,60.6,27010.0
2016-01-04 23:00:00,-2.0,-0.670426618958799,-0.7419758409756166,42.1,0.6,52.8,33600.0
2016-01-05 00:00:00,-1.9,-0.32886664673858307,-0.9443763702374811,19.2,1.5,50.9,35810.0
2016-01-05 01:00:00,-1.9,-0.5030199466302352,-0.8642748019537045,30.2,2.6,46.7,33480.0
2016-01-05 02:00:00,-1.9,-0.4067366430758001,-0.9135454576426009,24.0,1.3,45.2,30550.0
2016-01-05 03:00:00,-1.8,-0.3502073812594676,-0.9366721892483976,20.5,2.1,42.3,34190.0
2016-01-05 04:00:00,-2.4,-0.6481199010631308,-0.761538307536737,40.4,1.7,44.6,32740.0
2016-01-05 05:00:00,-2.3,-0.19080899537654464,-0.9816271834476641,11.0,2.5,41.1,33910.0
2016-01-05 06:00:00,,,,,,,
2016-01-05 07:00:00,-3.6,-0.010471784116246214,-0.9999451693655121,0.6,1.7,50.2,31780.0
2016-01-05 08:00:00,-3.8,-0.3955455025629655,-0.9184463813430868,23.3,2.0,41.8,31570.0
2016-01-05 09:00:00,-3.2,-0.15988118769183485,-0.9871362650729879,9.2,1.6,39.5,27310.0
2016-01-05 10:00:00,-1.7,-0.23683814606561826,-0.9715491199976464,13.7,1.9,32.9,28740.0
